Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Moraceae;Ficus;Ficus gomelleira;;;;;;;;0,01;0,39;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Myrtaceae;Psidium;Psidium nutans;;;;;;;;0,016;;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Lythraceae;Lafoensia;Lafoensia glyptocarpa;;42;30;;;20;10;0,02;0,96;25;45;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Fabaceae;Piptadenia;Piptadenia gonoacantha;;;;;;10;6;0,042;0,63;20;;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Malvaceae;Guazuma;Guazuma ulmifolia;;;;;;;;0,05;0,5;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Rutaceae;Hortia;Hortia brasiliana;;12;12;;;7;4;0,05;1,02;5;15;No;;;8° 00' S;35° 00' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Visual observation;;x;N;;;x;2003;"Melo; Tabarelli, 2003";"Melo, F.P.L.; Tabarelli, M. 2003. Seed Dispersal and Demography of Pioneer Trees: The Case of Hortia arborea. Plant Biology 5(4), pp. 359-365."
Fabaceae;Cassia;Cassia ferruginea;Legume;300;20;;60;8;5;0,07;0,51;15;50;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Annonaceae;Xylopia;Xylopia brasiliensis;;26;4,5;;;5,8;4,1;0,07;0,7;30;40;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Dilleniaceae;Doliocarpus;Doliocarpus olivaceus;;;;;;;;0,095;0,47;;;No;;;;;;;Dasyprocta sp.;;;;x;;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Boraginaceae;Cordia;Cordia bicolor;;;;;;;;0,1;0,53;;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;;;;;;;;2007;Beckman & Muller-Landau (2007);"Beckman, Noelle G.; Muller-Landau, Helene C. 2007 Differential Effects of Hunting On Pre-dispersal Seed Predation and Primary and Secondary Seed Removal of Two Neotropical Tree Species Biotropica"
Burseraceae;Tetragastris;Protium stevensonii;;;;;;;;0,22;0,65;40;70;No;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Rubiaceae;Faramea;Faramea occidentalis;;;;;;10;9;0,29;0,56;18;22;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;Line;;;;;;;1988;Schupp, 1988;Schupp, E.W. 1988. Seed and early seedling predation in the forest understory and in treefall gaps. Oikos 51(1), pp. 71-78.
Apocynaceae;Hancornia;Hancornia speciosa;;;;;;;;0,33;0,68-1,19;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Meliaceae;Swietenia;Swietenia macrophylla;capsule;;;;;;;0,44;0,52;60;;No;;;08° 01' S;59° 33' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;1997;Salgado, 1997;Iliana Salgado (1997) Contribution à l'étude de I'éologie de Swietenia macrophylla King (Meliaceae) en Amazonie brésilienne, Acta Botanica Gallica, 144:2, 231-242, DOI: 10.1080/12538078.1997.10515771
Burseraceae;Protium;Protium panamense;;;;;;;5;0,54;0,43;16;25;No;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;Flagged line;;x;N;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Lamiaceae;Vitex;Vitex cymosa;;;;;;;;0,56;0,56;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Burseraceae;Protium;Protium heptaphyllum;;;;;;;;0,62;0,77;25;65;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Fabaceae;Enterolobium;Enterolobium contortisiliquum;;;;;;;;0,65;0,54;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Myristicaceae;Virola;Virola sebifera;;;;;;;;0,7;0,45;16;30;;;;16° 20' S;68° 02' W;Humid Tropical Forest;Bolivia;Dasyprocta variegata;Plant;;;;;;;;2008;Arteaga, Luis L.. (2008);Arteaga, Luis L.. (2008). Dispersi ón y remoción de semillas de Virola sebifera (Myristicaceae) en un bosque montano de Bolivia. Ecología en Bolivia, 43(2), 119-13
Sapindaceae;Cupania;Cupania latifolia;;;;;;;;0,76;0,62;15;48;No;;;;;;;Dasyprocta sp.;;;;x;;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Malpighiaceae;Byrsonima;Byrsonima cydoniifolia;;;;;;;;0,77;;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Meliaceae;Guarea;Guarea glabra;;;;;;;;0,8;0,67;25;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Visual observation;;x;;;;;1979;"Howe; De Steven, 1979";"Howe, H.F.; De Steven, D. 1979. Fruit production, migrant bird visitation, and seed dispersal of Guarea glabra in Panama. Oecologia 39(2), pp.185-196. "
Meliaceae;Guarea;Guarea glabra;;;;;;;;0,8;0,67;25;;No;10;65;10° 12' N;84° 42' W;Lower Montane Rainforest;Costa Rica;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;x;x;;1999;Wenny, 1999;Wenny, D.G. 1999. Two-stage dispersal of Guarea glabra and G. kunthiana (Meliaceae) in Monteverde, Costa Rica. Journal of Tropical Ecology 15(4), pp. 481-496.
Fabaceae;Swartzia;Swartzia simplex;;21,5;14,6;;;22;9,3;0,9;0,77;35;;No;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;Flagged line;;x;N;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Arecaceae;Euterpe;Euterpe edulis;;12,8;12,46;;1;10,7;10;0,98;0,23;20;15;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Arecaceae;Euterpe;Euterpe edulis;;12;12,46;;1;13;10;0,98;0,23;20;15;No;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;N;;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Euterpe;Euterpe edulis;;12;12,46;;1;13;10;0,98;0,23;20;15;No;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Arecaceae;Euterpe;Euterpe edulis;;12;12,46;;1;13;10;0,98;0,23;20;15;No;;;27° 02' S;49° 27' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;;;x;x;x;;;2019;Silva & Reis 2019;SILVA, J. Z., & REIS, M. S. (2019). Consumption of Euterpe edulis fruit by wildlife: implications for conservation and management of the Southern Brazilian Atlantic Forest. Anais da Academia Brasileira de Ciências, 91(1).
Calophyllaceae;Calophyllum;Calophyllum brasiliense;;23,6;24,7;;;20;20,6;1,1;0,646;20;;No;;;;;;Nicaragua;Dasyprocta punctata;;;;;;;;;2011;Fung Mcleod (2011);Fung McLeod,E.M.(2011). Dispersi´on de semillas por mamíferos terrestres en bosques latifoliados del Atl´antico Norte de Nicaragua despu´es del hurac´an F´elix. Master Thesis: Turrialba, Costa Rica.
Arecaceae;Livistona;Livistona chinensis;;30;28;;;16;10;1,14;;35;;;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;x;x;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Olacaceae;Dulacia;Dulacia egleri;;;;;;;;1,2;;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Myristicaceae;Virola;Virola michelii;capsule;30;25;;;20;14;1,2;0,47;;;No;;;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;;;x;N;;;;2000;Forget et al. (2000);Forget,P.M., Milleron,T., Feer, F., Henry,O.& Dubost,G.(2000). Effects of dispersal pattern and mammalian herbivores on seedling recruitment for Virola michelii (Myristicaceae) in French Guiana. Biotropica 32, 452–462
Lecythidaceae;Lecythis;Lecythis corrugata;;;;;;;;1,2;0,73;;;No;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Lecythidaceae;Lecythis;Lecythis corrugata;;;;;;;;1,24;0,73;;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Fabaceae;Ormosia;Ormosia arborea;;80;3;;;16;14;1,4;0,7;22;65;No;;;22° 55' S;47° 01' W;;Brazil;Dasyprocta leporina;Agouti/Plant;Visual observation;;x;x;;;;2003;Guimarães Jr. et al., 2003;"Guimarães Jr., P.R.; José, J.; Galetti, M.; Trigo, J.R. 2003. Quinolizidine alkaloids in Ormosia arborea seeds inhibit predation but not hoarding by agoutis (Dasyprocta leporina). Journal of Chemical Ecology 29(5), pp. 1065-1072."
Myrtaceae;Eugenia;Eugenia coloradoensis;;;;;;;;1,45;;;;No;;;;;;;Dasyprocta sp.;;;;x;x;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Arecaceae;Bactris;Bactris gasipaes;;50;40;;;;;1,38;;18;;;;;10° 18' N;84° 48' W;;Costa Rica;Dasyprocta punctata;Plant;;;;;;;;2008;Dale, 2008;Dale, J. The role of L-dopa in Mucuna fruits: a deterrent or a marker.
Arecaceae;Bactris;Bactris setosa;;17,5;12,5;2,7;1;14;7,2;1,4;;6;;No;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Myristicaceae;Virola;Virola calophylla;;;;;;17;;1,4;0,47;;;No;;;11° 54' S;71° 18' W;Floodplain forest;Peru;Dasyprocta variegata;Plant;;;;;;;;2005;Russo, 2005;Sabrina E. Russo (2005). Linking seed fate to natural dispersal patterns: factors affecting predation and scatter­hoarding of  Virola calophylla seeds in Peru. Journal of Tropical Ecology, 21, pp 243­253 doi:10.1017/S0266467405002312
Lauraceae;Ocotea;Ocotea floribunda;;;;;;;;1,6;0,4;;;;;;10° 18' N;84° 48' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;;;2015;Beltran (2015);Beltrán, L. C. (2015). Post-dispersal seed fate of Ocotea floribunda (Lauraceae) in Monteverde, Costa Rica.
Sapindaceae;Melicoccus;Melicoccus lepidopetalus;;;;;;;;1,7;0,98;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Arecaceae;Oenocarpus;Oenocarpus mapora;;25;20;;;;;1,71;0,71;15;;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Other animals;;;;;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Arecaceae;Oenocarpus;Oenocarpus mapora;;25;20;;;;;1,71;0,71;15;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;;;;;;;;2007;Beckman & Muller-Landau (2007);"Beckman, Noelle G.; Muller-Landau, Helene C. 2007 Differential Effects of Hunting On Pre-dispersal Seed Predation and Primary and Secondary Seed Removal of Two Neotropical Tree Species Biotropica"
Lauraceae;Cinnamomum;Cinnamomum triplinerve;;;;;;;16;1,76;0,43;;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Moraceae;Pseudolmedia;Pseudolmedia spuria;;;;;;;16;1,9;;;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Clusiaceae;Garcinia;Garcinia brasiliensis;;;;;;;;1,96;0,75;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Myristicaceae;Virola;Virola koschnyi;;;;;;;;2;0,41;;;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;;;6 months;x;x;x;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Arecaceae;Bactris;Bactris acanthocarpa;;18;15;;;14;14;2;;6;;No;4;5,3;8° 00' S;35° 00' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Flagged line;2 anos;x;x;x;x;;2001;"Silva; Tabarelli, 2001";"Silva, M.G.; Tabarelli, M. 2001. Seed dispersal, plant recruitment and spatial distribution of Bactris acanthocarpa Martius (Arecaceae) in a remnant of Atlantic forest in northeast Brazil. Acta Oecologica 22(5-6), pp. 259-268."
Celastraceae;Hylenaea;Hylenaea praecelsa;;;;;;;;2,07;;;;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation / Line;6 meses;;;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Fabaceae;Inga;Inga sp.;;15;2,5;;;;;2,2;0,48;;;No;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Celastraceae;Salacia;Salacia elliptica;;;;;;;;2,32;;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Myristicaceae;Virola;Virola surinamensis;;;;;;20;15;2,4;0,48;40;91;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;;;;;;;;1985;Howe et al., 1985;"Howe, H.F.;  Schupp, E.W.; Westley, L.C. 1985. Early Consequences of Seed Dispersal for a Neotropical Tree (Virola surinamensis). Ecology 66(3), pp. 781-791."
Myristicaceae;Virola;Virola surinamensis;;;;;;20;15;2,4;0,48;40;91;;4,9;20;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Active search / Visual observation;2 meses;x;x;x (2%);;;1987;"Larson; Howe, 1987";"Larson, D.; Howe, H.F. 1987. Seed dispersal and destruction of Virola surinamensis seeds by agoutis: Appearance and reality. J. Mammalogy 68(4), pp. 859-860."
Arecaceae;Welfia;Welfia regia;;34,7;15,4;;;24;13;2,4;0,4;20;20;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Plant;;;x;x;;;;1979;Vandermeer & Risch, 1979;Vandermeer & Risch, 1979 Seed dispersal of a common Costa Rican rain forest palm (Welfia georgii). Trop. Ecol
Moraceae;Brosimum;Brosimum alicastrum;;;;;;;;2,7;0,69;35;115;;;;;;;;Dasyprocta sp.;;;;x;x;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Fabaceae;Andira;Andira surinamensis;;;;;;;;2,8;;;;;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Malvaceae;Sterculia;Sterculia apetala;;;;;;;;2,85;0,4;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Clusiaceae;Garcinia;Garcinia gardneriana;;35;28;13,7;1;27;14;2,9;0,75;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Myristicaceae;Virola;Virola surinamensis;capsule;;;;;22;17;2,95;0,48;;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Exclosure;;x;x;;x;;1997;Asquith et al., 1997;"Asquith, N.M.; Wright, S.J.; Clauss, M.J. 1997. Does mammal community composition control recruitment in neotropical forests? Evidence from Panama. Ecology 78(3), pp. 941-946."
Myristicaceae;Virola;Virola surinamensis;;;;;;22;17;2,95;0,48;;;;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;Flagged line;;x;N;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Myristicaceae;Virola;Virola surinamensis;;;;;;22;17;2,95;0,48;;;;;;;;;;Dasyprocta sp.;;;;x;x>;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Myristicaceae;Virola;Virola surinamensis;;;;;;22;17;2,95;0,48;;;;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Line;;x;x;x;x;;1991;"Forget; Milleron, 1991";"Forget, P.-M.; Milleron, T. 1991. Evidence for secondary seed dispersal by rodents in Panama. Oecologia 87(4), pp. 596-599."
Arecaceae;Welfia;Welfia regia;;34,7;15,4;;;;;3;0,4;20;20;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;;;6 months;;;;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Fabaceae;Andira;Andira galeottiana;;;;;;;;3;;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fabaceae;Andira;Andira grandistipula;;;;;;;;3;;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fabaceae;Andira;Andira legalis;;;;;;;;3,028;;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fabaceae;Hymenaea;Hymenaea oblongifolia;legume;55;39;;;;;3,1;0,86;35;;Yes;;;01° 27' S;48° 30' W;Amazon;Brazil;Dasyprocta leporina;Plant;Visual observation;;x;x;x;;;1995;Almeida & Ribeiro, 1995;Almeida, S. S. D., & Ribeiro, M. S. (1995). Evidencias de dispersao de sementes mediada por mamíferos caviomorfos em Hymenaea Oblongifolia Huber
