Family;Genus;Species;Taxonomic.status;UpdatedFamily;Checked_Genus;Checked_Epithet;UpdatedPlantSpecies;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Wood density level;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monitoring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Arecaceae;Attalea;Attalea attaleoides;Accepted;Arecaceae;Attalea;attaleoides;Attalea attaleoides;;50;25;;2;;;12;;;;;Yes;;;02° 50' S;59° 59' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;2012;de Freitas et al., 2012;"de Freitas, Cintia Gomes; Capellotto Costa, Flavia Regina; Svenning, Jens-Christian; Balslev, Henrik 2012 Topographic Separation of Two Sympatric Palms in the Central Amazon - Does Dispersal Play A Role? Acta Oecologica-International Journal of Ecology"
Arecaceae;Astrocaryum;Astrocaryum paramaca;Accepted;Arecaceae;Astrocaryum;paramaca;Astrocaryum paramaca;;37,5;22,5;;;;;5;;;8;11;;;;;;;;Dasyprocta sp.;;;;x;x;;;;1991;Forget, 1991b;Forget, P.-M. 1991. Scatterhoarding of Astrocaryum paramaca by Proechimys in French Guiana: comparison with Myoprocta exilis. Trop. Ecol. 32: 155-167.
Arecaceae;Attalea;Attalea funifera;Accepted;Arecaceae;Attalea;funifera;Attalea funifera;;125;60;;;;;4,9;;;15;30;;;;14° 47' S;39° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;;;;;;;;2002;Voeks (2002);Voeks, Robert A. “Reproductive Ecology of the Piassava Palm (Attalea Funifera) of Bahia, Brazil.” Journal of Tropical Ecology, vol. 18, no. 1, 2002, pp. 121–136
Fagaceae;Quercus;Quercus humboldtii;Accepted;Fagaceae;Quercus;humboldtii;Quercus humboldtii;;;;;;;;4,38;;;;;;;;06° 05' N;73° 07' W;Humid Tropical Forest;Colombia;Dasyprocta punctata;Plant;;;x;x;;;;2010;Guerrero-Rodriguez et al. (2010);Guerrero-Rodríguez, S. B., Paz-Camacho, E. A., & Rosselli, Á. P. (2010). Efecto de la intervención antrópica en la distribución de las semillas y plántulas del roble (Quercus humboldtii Bonpl., Fagaceae) en la cordillera oriental colombiana. Colombia Forestal, 13(1), 163-180.
Fabaceae;Dioclea;Dioclea reflexa;Accepted;Leguminosae;Dioclea;reflexa;Dioclea reflexa;;;;;;;;4,01;;;;;;;;10° 26' N;84° 00' W;;Costa Rica;Dasyprocta punctata;Plant;Removal observation;;;;;;;2007;Peterson, 2007;Peterson, M. Seed toughness in Persea americana (Lauraceae) and Dioclea reflexa (Papilionaceae) and feeding behavior in agoutis (Dasyprocta punctata).
Celastraceae;Salacia;Salacia elliptica;Accepted;Celastraceae;Salacia;elliptica;Salacia elliptica;;;;;;;;2,32;;;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Celastraceae;Hylenaea;Hylenaea praecelsa;Accepted;Celastraceae;Hylenaea;praecelsa;Hylenaea praecelsa;;;;;;;;2,07;;;;;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation / Line;6 meses;x;x;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Arecaceae;Bactris;Bactris gasipaes;Accepted;Arecaceae;Bactris;gasipaes;Bactris gasipaes;;50;40;;;;;1,38;;;20;;;;;10° 18' N;84° 48' W;;Costa Rica;Dasyprocta punctata;Plant;;;;;;;;2008;Dale, 2008;Dale, J. The role of L-dopa in Mucuna fruits: a deterrent or a marker.
Olacaceae;Dulacia;Dulacia egleri;Accepted;Olacaceae;Dulacia;egleri;Dulacia egleri;;;;;;;;1,2;;;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Arecaceae;Astrocaryum;Astrocaryum malybo;Accepted;Arecaceae;Astrocaryum;malybo;Astrocaryum malybo;;;;;;;;;;;5;;;;;8° 25' N;76° 03' W;;Colombia;Dasyprocta punctata;Plant / Animals;Camera traps;;;;;;;2018;Acevedo-Quintero et al. 2018;Acevedo-Quintero, J. F., Zamora-Abrego, J. G., & Ortega-León, Á. M. (2018). The prickles of Astrocaryum malybo as a structural defense to avoid seed predation. Food Webs, 16, e00088
Arecaceae;Astrocaryum;Astrocaryum gratum;Accepted;Arecaceae;Astrocaryum;gratum;Astrocaryum gratum;;53;35;;1;;;;;;15;;;;;13° 20' S;68° 10' W;Humid Tropical Forest e semidecídua de vários estágios sucessionais;Bolivia;Dasyprocta punctata;Plant;Exclosure;;x;x;;;;2015;Aliaga et al., 2015;"Aliaga-Rossel, Enzo; Fragoso, Jose Manuel 2015 Defaunation Affects Astrocaryum Gratum (arecales: Arecaceae) Seed Survivorship in A Sub-montane Tropical Forest Revista De Biologia Tropical"
Arecaceae;Attalea;Attalea rostrata;Accepted;Arecaceae;Attalea;rostrata;Attalea rostrata;;;;;;;;;;;1,5;48;;;;;;;Costa Rica;Dasyprocta punctata;;;;x;x;;;;1994;Bradford & Smith 1997;Bradford, D. F., & Smith, C. C. (1977). Seed predation and seed number in Scheelea palm fruits. Ecology, 58(3), 667-673.
Arecaceae;Copernicia;Copernicia alba;Accepted;Arecaceae;Copernicia;alba;Copernicia alba;;;;;;;;;;;;;;;;18° 59' S;56° 39' W;Pantanal;Brazil;Dasyprocta azarae;Agouti;;;;;;;;2013;Cid et al., 2013;"Cid, Bruno; Oliveira-Santos, Luiz Gustavo R.; Mourao, Guilherme 2013 Seasonal Habitat Use of Agoutis (dasyprocta Azarae) Is Driven by the Palm Attalea Phalerata in Brazilian Pantanal Biotropica"
Myrtaceae;Myrciaria;Myrciaria sp.;Genus-level;Myrtaceae;Myrciaria;sp.;Myrciaria sp.;;;;;;;;;;;;;;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
;Carapa;Carapa guianensis;Accepted;Meliaceae;Carapa;guianensis;Carapa guianensis;;;;;;;;;;;;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
;Protium;Protium decandrum;Accepted;Burseraceae;Protium;decandrum;Protium decandrum;;;;;;;;;;;30;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Arecaceae;Phytelephas;Phytelephas seemannii;Accepted;Arecaceae;Phytelephas;seemannii;Phytelephas seemannii;;80;140;;;;;;;;4;30;Yes;;;;;;Panama;Dasyprocta punctata;Plant;;;;;;;;1996;Dalling et al. (1996);Dalling, J. W., Harms, K. E., Eberhard, J. R., & Candanedo, I. (1996). Natural history and uses of tagua (Phytelephas seemannii) in Panamá. Principes, 40, 16-23
Arecaceae;Attalea;Attalea microcarpa;Accepted;Arecaceae;Attalea;microcarpa;Attalea microcarpa;;37,5;25;;;;;;;;;;;;;02° 50' S;59° 59' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;2012;de Freitas et al., 2012;"de Freitas, Cintia Gomes; Capellotto Costa, Flavia Regina; Svenning, Jens-Christian; Balslev, Henrik 2012 Topographic Separation of Two Sympatric Palms in the Central Amazon - Does Dispersal Play A Role? Acta Oecologica-International Journal of Ecology"
Arecaceae;Attalea;Attalea rostrata;Accepted;Arecaceae;Attalea;rostrata;Attalea rostrata;;;;;;;;;;;1,5;48;;4;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Flagged line;;x;x;x;;;1994;Forget et al., 1994 ;"Forget, P.-M.; Munoz, E.; Leigh Jr, E.G. 1994. Predation by rodents and bruchid beetles on seeds of Scheelea palms on Barro Colorado Island, Panama. Biotropica 26(4), pp. 420-426."
Arecaceae;Attalea;Attalea rostrata;Accepted;Arecaceae;Attalea;rostrata;Attalea rostrata;;;;;;;;;;;1,5;48;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Bite marks on seeds /Visual observation / Line;6 meses;x;x;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Arecaceae;Astrocaryum;Astrocaryum chambira;Accepted;Arecaceae;Astrocaryum;chambira;Astrocaryum chambira;;70;47,5;;;;;;;;30;;;8,6;;0° 49' S;70° 13' W;Humid Tropical Forest;Colombia;Dasyprocta fuliginosa;;Flagged line;70 days;x;x;x;;;2009;Ramirez et al., 2009;"Ramirez, Beatriz H.; Parrado-Rosselli, Angela; Stevenson, Pablo 2009 Seed Dispersal of A Useful Palm (astrocaryum Chambira Burret) in Three Amazonian Forests With Different Human Intervention Colombia Forestal"
Fabaceae;Hymenaea;Hymenaea sp.;Genus-level;Leguminosae;Hymenaea;sp.;Hymenaea sp.;legume;;;;;;;;;;;;Yes;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation/colar de radio;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Passifloraceae;Passiflora;Passiflora sp.;Genus-level;Passifloraceae;Passiflora;sp.;Passiflora sp.;;;;;;;;;;;;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
